"block_number","block_time","block_hash","extra_data","fee_recipient_address","bundle_id","user_tx_hash","user_tx_from","user_tx_to","backrun_tx_hash","backrun_tx_from","backrun_tx_to","refund_tx_hash","refund_from","refund_to","refund_value_eth"
19158426,"2024-02-05 00:12:11","0xfab3f48d8e29026a6cbe58219b8d3ae43835245daa7bcb9f448cfeec3ad979c1","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x6bfaf1fd3692ef33980284f7f89bec4904d12b2a1e864919e9ae7ed9e2d0a7d2","0x082cf94ada867c1c9229b517dc56e4c3de491b92","0x5c9321e92ba4eb43f2901c4952358e132163a85a","0x8ee7d492688fc94c92c612f845581c15e4bc68d0d90258d35624b42b41d86718","0xe75ed6f453c602bd696ce27af11565edc9b46b0d","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0x4a9a24b88ab8f1b8b263d7ea4e797b960a626aef68e2bb753701b8f31f242f8a","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xdcddae87edf1d9f62ae2f3a66eb2018acd0b2508",0.000136542118046992
19158481,"2024-02-05 00:23:11","0xa5236b0763fa43738ab0a292f3fbb25c23d7e9c2d8403a9839b25e58e4e3d249","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0xd9591476677a2c4e44a0b3fb9e516c0f7ef697f9bf17ce6f9060c77920818589","0xfe5c5214d80ff1dedc9daa2e73c70b14557ac828","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","0xe92fe2f4f435de452b99cd60cf11a58fc480d807e34e516a49756a1d024fd77e","0xfc9928f6590d853752824b0b403a6ae36785e535","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0x985e4994358280b84107eb4cc8e208bdfd04b1a7cb239875472e0534655972da","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x45bbc37bff7a33ede46d4e6e627b84c0580304e5",0.002729635310190706
19158640,"2024-02-05 00:55:11","0x2a8e99ebba7ef8d5327520d9d4f083bf717093a9d9f6d8805e60657f6874a8a2","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x8ef45d7540b6dd31c46c411599e4aed13f5115a6102f1c446b1b06a7d6b10c44","0x53354516df2c98eddcd6a0d8524ec098b40d17ac","0xf3de3c0d654fda23dad170f0f320a92172509127","0x0111a75fc36df4582f5b22adc23ed009ce1158bd3b2f1d5ed227fc34962df775","0xbf103ca71e997bd478da47d49e116168b37f00fc","0x2954e8b54b4f555d11e6d5afea7e28e3ef3b1845","0x688ce4e04716d5c9e1d30c771216f1967c3cb524fc2ad4eca365927d91ad482e","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x53354516df2c98eddcd6a0d8524ec098b40d17ac",0.000304482979723261
19158693,"2024-02-05 01:05:47","0x1b704aebc2d6045c5a24c052858e42403d083ac68cca211702dca8223cdf7d60","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0xfc90f830e86908da1a4a651f9ecc66cac4a0092cb779006c20b71f50b72f6305","0x9642bac55c4152a1757f2d3fa6913e0e48371409","0x77edae6a5f332605720688c7fda7476476e8f83f","0x2f6cbed1731bc53aad34fca7646a2139139342b7c59feb307adb25c7d3be7d82","0xe75ed6f453c602bd696ce27af11565edc9b46b0d","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0xdbf04380427b76996ca74d25edc74274ad74cf776e42c3f00ba94e4cd5ed60a1","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xdcddae87edf1d9f62ae2f3a66eb2018acd0b2508",0.001887335036166237
19158860,"2024-02-05 01:39:35","0x704497464ac4cebb376ad728e1c4253f4b0b8b47ef6d628da6ab5a2c46278d70","Illuminate Dmocratize Dstribute","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5",1,"0xa86727d9b926e7af97b0bac36f1030b04f8bfd60c9175a004dd387915d5034f9","0xec9baa75dc18fb2ade9d34387997af208af8715d","0xa28d6a8eb65a41f3958f1de62cbfca20b817e66a","0x322285dbd11041e9497d1f1e4c2ac0ba503bcfd318f8fd200a41e5aafd3babb8","0x7f9dd0257dc4b370cbec9c9aee9daf4943469571","0x6079dfc485faaae22cf4f71ca7cc6c7b027b3212","0xca00204f06594280623a4b5bae3868464e670bc8d3cf081726862ab173829b8c","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5","0xec9baa75dc18fb2ade9d34387997af208af8715d",0.001594548460113
19158931,"2024-02-05 01:53:47","0xd31540a8ca389b295779918c97436cf9ce6c8e760d6f057329560588953dbbf7","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x0e01dcd35455de2781be685dfb59607aa83b40d23f62eb6ad2e3f519c568e2dc","0x722ba61d2901692fc7f4d770effcfa56a95c501e","0xf3de3c0d654fda23dad170f0f320a92172509127","0x272313ec0e4bb4751e4bfc77f3062c0e5a1a62a688e89ac8799a6f3b4dbc97df","0x11c798c549b66a70f90628d920d226bafd92be73","0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168","0x14fab18650374470e96d61e52dd908c2de6a9ddec006b8b756d1f1473ea5b6a0","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x722ba61d2901692fc7f4d770effcfa56a95c501e",0.016352020400566724
19158934,"2024-02-05 01:54:23","0x94c940dfd2786d1bc4fe3069d8a43669c2336339daf8be513b96b39aa656a98a","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x5248e453ddd217a553194a195b0ae5aec3670e882308e6b46b471785b36438cc","0x722ba61d2901692fc7f4d770effcfa56a95c501e","0xf3de3c0d654fda23dad170f0f320a92172509127","0x6717738bcde24c8a3193dccc4d96c4f08051fdc233e93f6f768b2febff38a0db","0x0ef80bf5c1f530c1c08effd495d0bccbcd894643","0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168","0x6578cbf9777e735c7d654f3d19c9063b21b539f520bcb58c74747eb0406fc6d8","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x722ba61d2901692fc7f4d770effcfa56a95c501e",0.000359544351253607
19159022,"2024-02-05 02:11:59","0x417c1b24bd6510d0459f2120a06c036c5276a37b69ff0c02f098cf0f19e93363","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x5901d6b4eeebec17a8087b2e6ba44a03206d3ac3bf47a95d176c3d80d01aedc3","0x331e59d3e7acf09716577cd369b04e6f48f83d80","0xcf4d25d27c4f8c850e979f4595b50c80b414cff0","0xd23daed516f10b1016a5bcfd5e1149b317a5320d76d3a304c428decb491133d2","0x2c0aca65ab8e5a53c3b45458fe34ebb231c3370e","0x51c72848c68a965f66fa7a88855f9f7784502a7f","0x918321e7e01994e8ddc621a4600b7f69c99dcb997853ec913e0eb3c6a466170b","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x52db48b81d8213403d4081c56ff0d4f7e52cfafe",0.003297184458100916
19159084,"2024-02-05 02:24:35","0xad88159330ba20f618ad68fc40ca0da77d50e9c42846b52fad79fceff25b8270","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0x1ed0cbc3272a520ba8dde3e736dc04ae5ebd1d2830be7cf8d9ffa8e6539be9c0","0x30123e49fe5f703b6675943c1520a422d1705db6","0x1111111254eeb25477b68fb85ed929f73a960582","0xb01e1c91e8db0e23551efeced6fa369f36204c98fcc4a972bb9129f75c6e0317","0xf292e2d2b321b0df16846f8e3f0289a3b11400bd","0x0000000000450702bc4f750fd1e7ecad7054c4f1","0x38648a1c73572f4d6975dd54ceaa51ed5ea32592ceb3a4822f84054f3af94a3b","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0xdcddae87edf1d9f62ae2f3a66eb2018acd0b2508",0.000971867141656
19159336,"2024-02-05 03:14:59","0xc4c205a7aea5c9588cf84db8c02e7410058c124cc711b77d59a7981c5451c827","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0xceca86760a8290d18e369f90dc6b26a203521b213a539dd2e5075133c9fd9516","0x722ba61d2901692fc7f4d770effcfa56a95c501e","0xf3de3c0d654fda23dad170f0f320a92172509127","0x5da9482c435fd9383066f16c7859a5020bfe4fe7b943c73829d433ebe466ab74","0x11c798c549b66a70f90628d920d226bafd92be73","0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168","0x3856f291a0e43324f1db9f0e8240e8d42ab2bbffb6f6c5288aacc54d6deeae6b","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x722ba61d2901692fc7f4d770effcfa56a95c501e",0.005588585761153355
