"block_number","block_time","block_hash","extra_data","fee_recipient_address","bundle_id","user_tx_hash","user_tx_from","user_tx_to","backrun_tx_hash","backrun_tx_from","backrun_tx_to","refund_tx_hash","refund_from","refund_to","refund_value_eth"
19008604,"2024-01-15 00:07:59","0xe77fcc691992f77abdfea0d3b22005cc083ccab689bb2b0b3f4abb266ec16edb","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0x64f5f2664065c320b19908fd5b52cc8bbc1ac71a7a53dd58fa8f02c0253120ab","0x3628edcb16ab5b42a00e4e0d830b0a3cbaa79c73","0x881d40237659c251811cec9c364ef91dc08d300c","0x86b230c9039a9b7212ab45a4d77a1562130c817e0747a73f0f565c53dbac94de","0x2acb307c86fa3d37630a5506d96377a7779bf22a","0x0000e0ca771e21bd00057f54a68c30d400000000","0x2b41604a11c47073db14c97995687a14c3ee1b95f6e382d5964110362b0e146a","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0xef409c51addcf4642e2c98e935bc5d9ac273af57",0.0028566425945628
19008696,"2024-01-15 00:26:35","0x7c373e7da3d104245ad0f53b4d36ab6e70f040136093b1313557663f46715eb8","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0xbf2cb42268092891b2291be1483be92b8bb15fdf76dcf718e01cfdf4ace5fb1c","0xaafee71255828d2b5249deaffa6e17c067ac7f56","0x881d40237659c251811cec9c364ef91dc08d300c","0x3b5d08031233a5ee1a54b0eb1e2ed5538d1df5cae07f47a0667057f989505d25","0x77331cc200e93b6a00b799bec11b3ffde9180fcd","0x46fbf407d8b99b2f2e75deddd242ed51c2e3a4a9","0xe1ca8724a422f3ff8a7eb0fbdd966c569e537497f7c8d3915aca7075af9d85c5","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0xef409c51addcf4642e2c98e935bc5d9ac273af57",0.00716760245722572
19008717,"2024-01-15 00:30:47","0x4334500403c1bfe1ee95c5f00a31ae84841c40626c1f324367f346e8e902edea","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0xea46b18582656f51f708aeb162795fba1937bf15401d40b0c3934a92c06c6a70","0x527b0782ca71e3e76ed8c35fddf2d4f054c498d9","0x5c9321e92ba4eb43f2901c4952358e132163a85a","0x23f7be86ea9390e5292a098b6946970f73dc353d24299172b218c7bbe1ac0139","0xbf103ca71e997bd478da47d49e116168b37f00fc","0x988ad333342d903190ed86a053e6b2170aebeb20","0x1d24238bb2e440389a3f1056def53561053885a1283a84551ab5077e1f913f73","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0x527b0782ca71e3e76ed8c35fddf2d4f054c498d9",0.0016298598328377
19008816,"2024-01-15 00:50:35","0x28e39c56b044395a3df5ae3eba9f8a22b2f84d5c9df1d815412a52d55a237b54","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0x68a54b7669258fdf5353db7be8657a8636c316debb11b4d7a03ad8606e70cc3c","0x32a3d0dacbc7362a977dcde31f063e4b1c76de3c","0x03f34be1bf910116595db1b11e9d1b2ca5d59659","0x7305766b08842a8bacf462a9deb938bfcc87423156c7d08180fe91216f5beba7","0x1692ed8a4c20910e96b6cf3e37146789a6bddbc8","0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168","0xc928d76017fa20644e1b418641c32954cbb49573983f339966fe2a645142cccb","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0x63ef071b8a69c52a88dca4a844286aeff195129f",0.0043882379957049
19008932,"2024-01-15 01:13:47","0x61615cc0202d76c92e8bd7f4047b8b6e7a90d56e0438b27a95a5c5353b592eac","Illuminate Dmocratize Dstribute","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5",1,"0xab0225ff3c023f9ab292a9b06666ba9daed96ecba2e474242b31d0f27990ec2b","0x66e3dca826b04b5d4988f7a37c91c9b1041e579d","0x27205faaca14d1c47e60b4260458599ec6bd9445","0x88b9fd3664b9296cbb00f9ec16d2162b987604de37940f1a5f7aec059990ed78","0x7f9dd0257dc4b370cbec9c9aee9daf4943469571","0x6079dfc485faaae22cf4f71ca7cc6c7b027b3212","0x3486f93805e8782093192ce63777a42cd3a8bf420e5dda895115e3ae87396bd2","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5","0x66e3dca826b04b5d4988f7a37c91c9b1041e579d",0.001476041083818
19009136,"2024-01-15 01:54:47","0x9defc1a43183f4d5447a70bb73453b2e32816f8ec42d443d1cb26727266aea41","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0xfd97b0be0ee4aef790ac6ac8b687dcccfa7a6b200753607ddf988f65bc560965","0xdc1d88e49d1c963cc39ecb780d52282e0880d981","0x41eeba3355d7d6ff628b7982f3f9d055c39488cb","0x5801b6839cc8c963a07f1f5cf7b394363fb0dac01f0f5418ee0e1cd45ff23ecc","0x2ee36e41387f87b7e6f678a86d1e575b23b996f5","0x0000000000a84d1a9b0063a910315c7ffa9cd248","0x0e3d88051466594d62e7cd5ff0284229ad3c9879c642ecc5dec45af84e76318f","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0xdc1d88e49d1c963cc39ecb780d52282e0880d981",0.001091263382602
19009145,"2024-01-15 01:56:35","0x5fab0cf682ab846ec0566112cb90622c2c50466ab93e5d7bce859fa9cc6ba293","Illuminate Dmocratize Dstribute","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5",1,"0x6522bd1f47f78e5815022692238defded5cb2b332e6ff0eb07c4c0547a95fca6","0xea80829c827f1633a46e7ea6026ed693ca54eebd","0x9ba41a2c5175d502ea52ff9a666f8a4fc00c00a1","0x0343fc1b47f291072d33ee14463f6f186ad6940a9bb0aba91dcab861c03d2328","0x0b2b8ef0206d2e42a53d8612bb29a8af9b8437f8","0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168","0x6a313c2151a560a33e5c8c42a019984ae840b923b9c8967088c5c10c892795d8","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5","0xea80829c827f1633a46e7ea6026ed693ca54eebd",0.017444952096872593
19009187,"2024-01-15 02:05:11","0x7028f0af4a21b73409ca989d6a999ee85520a12d7293395c67f14303c86dca9c","Illuminate Dmocratize Dstribute","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5",1,"0xeba68ed3b0092c341f9bc845e742a0403476543999f600add94bdfc884c6024e","0xd6bea8b8d6e503db297161349ca82ad077668d1d","0x41eeba3355d7d6ff628b7982f3f9d055c39488cb","0xd1912a810744a45547e1649e6402ee6313fcee11868d32b1a35d091d236da651","0x14259515c9d957dd6ce338f346afa80e05f4ca29","0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168","0xaa18b0cd715a8f90f52dd1a7ca9841cada3b3a31b988e73cd3acbc13de73f1ae","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5","0xd6bea8b8d6e503db297161349ca82ad077668d1d",0.004220687025899771
19009413,"2024-01-15 02:50:23","0xeb5db287f6beb0627466b95267f9c38cdef23e131d0181301d2de6c6278a4100","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0x9a1036fd80868b988a652cd8c4375e6d3684ff8d46316dd97db10f459acf6e9d","0xdc1d88e49d1c963cc39ecb780d52282e0880d981","0x41eeba3355d7d6ff628b7982f3f9d055c39488cb","0xeab28bebf0796d2e4407af6dc86452a6ee2f1c08019cb05ed202de6cba44d601","0x0ef80bf5c1f530c1c08effd495d0bccbcd894643","0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168","0x88b5ebd39ee91037e47b4eca1d2eea1f7c576f70b661ee77295db520c8512ea5","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0xdc1d88e49d1c963cc39ecb780d52282e0880d981",0.0006898501249924
19009522,"2024-01-15 03:12:23","0xb38e85a6cc6c5f958da8b600ca0692ed4d9de504394f7030ac4485ded7b558bf","Illuminate Dmocratize Dstribute","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5",1,"0xae60cbf20027e0afaea75c910f25415c0c70475b691365399f639ed7957ecb9f","0xc65f45c3ac07c57c566341811234c8aa5afbbb40","0xdef1c0ded9bec7f1a1670819833240f027b25eff","0x0db722470ea41edcbf910e56d725123d558bf1e9339147b9db26560b9a18798e","0x55a75fd73507727c9106aa01ce06d2586839fff3","0x46fbf407d8b99b2f2e75deddd242ed51c2e3a4a9","0xffb8c3eb40bfdd8b6951bb526395bb1de4f6d46df310211563d611ff3d7f06aa","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5","0xed70ec8224a7af98968a7659a6dde5a29f33519d",0.009689982144333417
