"block_number","block_time","block_hash","extra_data","fee_recipient_address","bundle_id","user_tx_hash","user_tx_from","user_tx_to","backrun_tx_hash","backrun_tx_from","backrun_tx_to","refund_tx_hash","refund_from","refund_to","refund_value_eth"
19130137,"2024-02-01 00:49:59","0xb329cf0b347ddf55dff0ca00afd9b5f85cbe4862733b59e7fa2ac2632ba4d9b5","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x6e21cb590d023631bc0399b893052ac22f1925c2553b3d6d068bc30d8faed6fb","0x0fc3f0bc769fb677ad3d9bf64c470550629e255e","0xdef1c0ded9bec7f1a1670819833240f027b25eff","0xe4445c6297c12df3b785541f954033398836af98a7a7c30340c62fc6db9248f3","0xa009fa1ac416ec02f6f902a3a4a584b092ae6123","0xfbeedcfe378866dab6abbafd8b2986f5c1768737","0x26355142f86588e67e046c0641514bf9858ff0bd884a4a4c755d6fbd071a46d5","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xed70ec8224a7af98968a7659a6dde5a29f33519d",0.12166461574685516
19130143,"2024-02-01 00:51:11","0x6850b14853222360094031d215a24687f5bc46b19f8a8b7fa17a16e7c8601030","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0x6216ada33d2638a8eae614486afca9a8f227db51fdabb7b73df68265cf27dfeb","0x977b3afcd296be05d7626a3ad3759497331ab1f9","0x881d40237659c251811cec9c364ef91dc08d300c","0x578141f6e7117ab36430602dfaa683ee33648cf2a20e3df9feb792c9377e1362","0xf7bf389531bea3ba0fdd3ecd63b8feeb37b039e3","0x51c72848c68a965f66fa7a88855f9f7784502a7f","0x688db382e0d6fd22052b2d0cfb31eabcabdb4adafa80449d2a26be63832258f2","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0xef409c51addcf4642e2c98e935bc5d9ac273af57",0.00060594228511506
19130160,"2024-02-01 00:54:35","0x2294bfc342a4de8a97bd3e0fe06678a2f9cba6ecb5f161f3b3cd232d01415982","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x2fa6fffb5b803bce26e0d22e597b2ad2b56557c0013bb1f58f68f30c945d4956","0x3d3d3979d9f3422cf36ea900515971cbe44dee9f","0xdef1c0ded9bec7f1a1670819833240f027b25eff","0x0773e3fd822a3fd58cafc5d9ef5140f6be746ad2ea4c764eb1a1513c0c667ec8","0xa009fa1ac416ec02f6f902a3a4a584b092ae6123","0xfbeedcfe378866dab6abbafd8b2986f5c1768737","0xdb11e60b1453c0509c4b80b9c0f6140e1aef4aaef17ba78225ba465ee475f081","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xed70ec8224a7af98968a7659a6dde5a29f33519d",0.04506922453641934
19130179,"2024-02-01 00:58:23","0x61fc68a891f4c3f21cd0bdc6dfa38ea0df56bcdac4963184133a3e3ea41ef6a8","Illuminate Dmocratize Dstribute","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5",1,"0x48283302dc9843e7a398fb7994ca0e84903964b43c70b3e68cf3b72c434bc369","0x34716d493d69b11fd52d3242cf1eeec8585a1491","0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789","0x2159832bfc27c6ccb3a97a0f60400490da0ca9c4fa17c37149481750a1c6fe4b","0x7f9dd0257dc4b370cbec9c9aee9daf4943469571","0x6079dfc485faaae22cf4f71ca7cc6c7b027b3212","0x9567b83a0f57bd8a4fcef851445479d2a8783c624d88220d34bac96d3e558849","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5","0x34716d493d69b11fd52d3242cf1eeec8585a1491",0.001425963206031
19130301,"2024-02-01 01:23:23","0xee90db0c959d03cd7e385566bfa71b9bc3e5b168bd00d0751e86b8f23f44ea7c","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x8127c28d3ad3ab9143f0851d9c72246838ec9e1ebded1d65593333c5a657a68a","0x88a0b6eff0a52f5ce91fdaf7cd072a10b596ea64","0xdef1c0ded9bec7f1a1670819833240f027b25eff","0x7629d040e5082557490d7a45287793b7a8ac89e30a3e24faf91a1b9ba42e82cf","0xfc9928f6590d853752824b0b403a6ae36785e535","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0x061de00abb963c8dc12ec3e904fb15d6891709a358d08ce7efe16733153425c7","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xdcddae87edf1d9f62ae2f3a66eb2018acd0b2508",0.000240748045521221
19130401,"2024-02-01 01:43:35","0x8ce259c4dacdb576b98789173e189f95937427e16ec9f4719ffa820644a8988a","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0xa8532107545d996041e7de186adeeba89f321e0a8c3f1192b87bb0c67ba53966","0x0a1ac7d31142760c430d0bb7c801c3c727a81d69","0xdef1c0ded9bec7f1a1670819833240f027b25eff","0x3552dab22ede570059be28b8196ba4a33b195c3a9b85f02128ba8e09836c563f","0xff64e8e2a0afc9923461f446d7e31863c2bc1f4b","0xc6fecdf760af24095cded954de7d81ab49f8bae1","0x6364450c101d2c142c9b240c81902c2b9517ad68dc9fa4541c19cdc610e71dbe","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xed70ec8224a7af98968a7659a6dde5a29f33519d",0.002695239431101586
19130449,"2024-02-01 01:53:11","0x988618c3c1a9dd97b724ee329d8e83209e42c728dc3cfe397fa4ba05242186f6","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x7a1c50b1859a55b9b3de93762695a7d7c4819e01528eb86ba8213cb4e13b4eec","0x81fd0a1d13059e473c1e02d73705124315e14cba","0xdef1c0ded9bec7f1a1670819833240f027b25eff","0xdd3750ecbb52366e362829fcec8597c040dad86f1707996d1ae9e2d7ee7aaa6a","0xfc9928f6590d853752824b0b403a6ae36785e535","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0xd76124159029c64785a575885b59e882934048c0ddf488e43c516a0bb9b1374e","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xed70ec8224a7af98968a7659a6dde5a29f33519d",0.001513082007842238
19131519,"2024-02-01 05:31:23","0xe37262e4c00812055e1647c021b9081dd54a9f9a8c73f296c1beeed213d92a5d","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x31136c11115b9cf73088c1fbcf5c8a5a7b14fd0de293221ae9671cd1e8aeef43","0xdc1d88e49d1c963cc39ecb780d52282e0880d981","0x41eeba3355d7d6ff628b7982f3f9d055c39488cb","0x6c5c9180c187a44ef0dfd010dd8dc9373e250deb2c0a8ec62d4c5c2ce560708b","0x2ee36e41387f87b7e6f678a86d1e575b23b996f5","0x0000000000a84d1a9b0063a910315c7ffa9cd248","0x8eab580bd9fd75dcede2d648d3ad6388c5a4a82d9bf58a10d2b094cf0b6b12aa","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xdc1d88e49d1c963cc39ecb780d52282e0880d981",0.004165602968233406
19132186,"2024-02-01 07:45:47","0xf8b83805d2c45bdcd699207da8690c77488eae560875707401c5df97377f9eb7","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0xd30aa0fae63e7c3006ed2ab73da17e484554ec350ff275a4f906f3e406e026a7","0x49c70545c9bf0bda7b6bf2d2358458a215aa626a","0x881d40237659c251811cec9c364ef91dc08d300c","0x395c08f31d5798bed75bacf732b71aa8dc21721c53a28ea979f10fd7751a5f70","0x7088659e96e5dcc91608d871937bdb5fa0776bac","0xc6fecdf760af24095cded954de7d81ab49f8bae1","0x965350d2cd5f9c46d72e1b57685b8108830957ea3d59d9a566577053f8c9988c","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0xef409c51addcf4642e2c98e935bc5d9ac273af57",0.0061224812313696
19132214,"2024-02-01 07:51:23","0xf73adb71fe23f0c8ec4092b4f310fa07799db1a68a988ca8f9a3c5c6d9b43bb4","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x3dc980821f4661af53c558a04ca22962481e7a45829950370af65bc9754cce07","0xb4f234314ebdd9e8a095db6cc2d931e6cb3a6185","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","0xa310608dbd59ae495b49ddcd9b2d38b42a8e0db33e74a0415666a2ab138bac1f","0x80106e5297a148bc05d25a6fea8c76e4b7bdcdae","0x53facee52e897740b140f5304e9cd9dc6238d735","0xdecb74442c6145e376c6089cc1b52b33ecf1de0cd0655fab5efc1280196d2cac","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x1876207dbfd106372d289d06e89cb75a4ff40231",0.5975129357252019
19132247,"2024-02-01 07:57:59","0xad80cb20a641e816d5d35f0493a507e7e200df28f469bcc062e839fa01434567","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0xfc70ec099a7d25c5351d10a9b81d0e452584f6c5e7638a45990655a769ef2e52","0x21a0a5901e342194646a4c91dab8628191f3b1fd","0x881d40237659c251811cec9c364ef91dc08d300c","0xf998e32c4c49046e269082c3436974459f80ace3ddf3331e02f2fdf6e2ecb58c","0xff64e8e2a0afc9923461f446d7e31863c2bc1f4b","0xc6fecdf760af24095cded954de7d81ab49f8bae1","0xcde5d0e649ae17ad990eb2fb0102a952ad789f7b30b991e59c7a5a06f64f4148","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0xef409c51addcf4642e2c98e935bc5d9ac273af57",0.00039084713313993
19132357,"2024-02-01 08:20:11","0xc6727a751b1af81894f41f5b898793998d8a2d883caebd419aa78e85ad165151","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x8c130c90d17b004092c184d5c7a4c177c538cf6c25a8d0817c8d4598b2856077","0x2d0326ef744698ae3cc4ced7b0303eef980b7081","0x03f7724180aa6b939894b5ca4314783b0b36b329","0xcfb6a8362fb5dd94ccac406d211d055612f42ded7f7cec7033e9d16957b0a6e2","0xfc9928f6590d853752824b0b403a6ae36785e535","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0xd8cb0106b83da198508a46073612a9f96a057909d9d78d12e1e91ed034a541f3","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x45bbc37bff7a33ede46d4e6e627b84c0580304e5",0.00008421647042376
19132497,"2024-02-01 08:48:23","0x897bed2986cbc9f36ebf857c059434d63938ae9e90fd40dd68834d87e7c4cab1","Illuminate Dmocratize Dstribute","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5",1,"0x4d3ed403553e1b1b98e101e79b53da486df8eb449f1ddbe35babb4fb0b36a0e2","0x8684f3c942138fb1f97ef4ca1e6cd8d202226f36","0x32400084c286cf3e17e7b677ea9583e60a000324","0x8d32b4edd758fe04f00996baa2586f952008641858982ec90f8d426c9a658ea2","0x7f9dd0257dc4b370cbec9c9aee9daf4943469571","0x6079dfc485faaae22cf4f71ca7cc6c7b027b3212","0xa5762a1939506dee75d6de2f609a1dcd348ac1ea23280f502d472287c405700e","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5","0x8684f3c942138fb1f97ef4ca1e6cd8d202226f36",0.001529242473279
19133503,"2024-02-01 12:11:59","0x08acecfad36058f7e500a0bd226eb13b4600f150c3e8e81ef70f7f259d3e25e9","@rsyncbuilder","0x1f9090aae28b8a3dceadf281b0f12828e676c326",1,"0x9ef36d2dbb3ef65f3f131426da357adcc705fd3655719840767c5aefaed144ef","0x8529e13006a9e9f2c2a6406badfab741894d03f4","0xb3cacdc722470259886abb57cee1fea714e86387","0xc36ca31f6accc3647b43c5ca7b68a82d6cb6f339a7274c55bc23dcdfb882f71e","0xbd4df3a4e4d832dc3e0110fea0013d41a9e5cf81","0xafa42f17e0c4e6e80bd743bb67ed02da2fbd8965","0x83757593a03cfb5e19bf00d2dbf414766453e52a53ffa4b385462cb71f683151","0x1f9090aae28b8a3dceadf281b0f12828e676c326","0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d",0.006007911903705384
19133538,"2024-02-01 12:18:59","0x0f6fc192163496c47574e86d7e43a01d3d7988db7c859a3907a559ee8c3d5a20","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x241e9d0e609034dea078a8ee173e46d9c2fa92e7988a58b8a3096c432ad40047","0x0f9dfd170f6d3109f801f1475b11a9c135232538","0xdef1c0ded9bec7f1a1670819833240f027b25eff","0x699f292ae7b16092ed5031973cb184a9f84a78efb16ba03ba42850ecf7573882","0x080086911d8c78008800fae75871a657b77d0082","0x0000e0ca771e21bd00057f54a68c30d400000000","0x2bff6ed13e80164e1a348d8b2ba94082fee214ed4a479fedd2df729732e6bf2a","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xed70ec8224a7af98968a7659a6dde5a29f33519d",0.03896543253004947
19133960,"2024-02-01 13:44:59","0x60eece5b9df0d6ee03477c00abe761a2d328c7c11b3de7a959259fc5739eedfc","Illuminate Dmocratize Dstribute","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5",1,"0x4d63985e3e32a56bf8f9c2049202177bb351a04d7e088dda33fa489e2ffc0e2c","0x27899fface558bde9f284ba5c8c91ec79ee60fd6","0xdabc597755ca5ee930da3d320a2e6608da92bc59","0x744537ddc3f28f2d300071164e7fc1cd4e4e1da0ddede25f670b94078d06701a","0x7f9dd0257dc4b370cbec9c9aee9daf4943469571","0x6079dfc485faaae22cf4f71ca7cc6c7b027b3212","0x547891f86d579267dec0e6f522718b08cba865059215015e4839cd9d3233a27e","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5","0x27899fface558bde9f284ba5c8c91ec79ee60fd6",0.001368008462415
