"block_number","block_time","block_hash","extra_data","fee_recipient_address","bundle_id","user_tx_hash","user_tx_from","user_tx_to","backrun_tx_hash","backrun_tx_from","backrun_tx_to","refund_tx_hash","refund_from","refund_to","refund_value_eth"
18908983,"2024-01-01 00:18:23","0x14b58668535b0dfe2194f337660b6739128c0471f0846e56ce82fcdd8a04fe5b","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0xea61d26183e1cbfa5a11904c7898d0fff45935aea903760ce768204022ba0ccf","0x6335d70e0b46f75c8488373e9f3a1e1239ea80ed","0xf3de3c0d654fda23dad170f0f320a92172509127","0xc7e492a9f93db2ad83758df13ded4d3df0f9b11f1e923baa4fe5685d43c389dc","0x1c06c36a559bbe99adece16eb7a63c5e997b2ef3","0xd4674001a9a66b31f3c09e3b1fec465404c83d35","0x73061142aba011d7b1f9c82136b2ec2844eb5db99d51d6c3263437ffe1c56f67","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x6335d70e0b46f75c8488373e9f3a1e1239ea80ed",0.001428333532428339
18909043,"2024-01-01 00:30:47","0x0c6ab6b8ce9b5ba0fce9d937efae11e2fbc087859fa96f2fdf625121c26b91ac","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x031e3f5895083c35fbfa5cc1768424890cab68b65e195430452f76abd8e0a79c","0x5ad76d03973b089e9ed3bd94574a5da245820307","0x3999d2c5207c06bbc5cf8a6bea52966cabb76d41","0xf553cf8df19a4bb989ec9aead1a75f794a580ca477566c0fe1c919186aa1573d","0xbf103ca71e997bd478da47d49e116168b37f00fc","0x988ad333342d903190ed86a053e6b2170aebeb20","0x3b6503eecc69d902ad94812133ffb07be085d90a94992527990f5b498a125331","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x5ad76d03973b089e9ed3bd94574a5da245820307",0.00233973128954269
18909053,"2024-01-01 00:32:47","0x93f5554321a3b5fdc99624c37087dcd950a11e7473bbb8ee16f6c850bd9c563b","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x8ebfeb6528fadd73d442ebb77ca35225b9347c32c5fae0ef4899affd423be112","0x1d80acdcae2257329557ae12c1d1fc21361def30","0xad3b67bca8935cb510c8d18bd45f0b94f54a968f","0x29db15426be10aac8073e855726836747f4489cfa332cfebc5fb26c8ae9d5556","0x7088659e96e5dcc91608d871937bdb5fa0776bac","0xc6fecdf760af24095cded954de7d81ab49f8bae1","0xfcb65272a2ef6f9b03c30fe275811a9d968bd256e526e43e5b7360fb7fffc2e1","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xf69c84b099c3c24eb1209f39d39236c432c00811",0.003550580185739316
18909686,"2024-01-01 02:40:59","0x9692adcb07a4262d9095df52f15ff7291be411f0b05f30a54832c806ce0857ca","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0x4f1fe98b708fb6d8ed96ce875efd16dc94e980235876256f1f3e52ae16c6c3a5","0x54d5d442741b0fcbae8039b06505ca8fd6892bf5","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","0x4a20cfd09ea3f5a4f54deaa3828c01bdfd9b6d081127fd9cb886a74b9384e020","0xe75ed6f453c602bd696ce27af11565edc9b46b0d","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0xb1af524d8d47ce0fc534cfbccb68639e651ed75d554efdafeb28b0028becc9b9","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0xdcddae87edf1d9f62ae2f3a66eb2018acd0b2508",0.276283768055289
18909701,"2024-01-01 02:43:59","0x2c1ec4ec1509cbcb0ab76a3c158b11d89e958460d70b9ce5595ff65f6bd0df22","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0xdbd3af45f4d7a903e007741d996dc690c6dd168203982a2bdd749817cdcf3e27","0x3525a90b8105009ce4ba4201c0dfd16530ee2702","0xdef1c0ded9bec7f1a1670819833240f027b25eff","0x5c8365d8f204fcb5add0675f0a28df1064ab26fe84bbdaf2ced558b4f09b6cbc","0xfc9928f6590d853752824b0b403a6ae36785e535","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0x00128f255b5c433970a4a64e9bdcac1b425eb938cd9c60536703bed78d6cf91e","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0xed70ec8224a7af98968a7659a6dde5a29f33519d",0.01421651232908496
18909979,"2024-01-01 03:39:59","0x50f232fa9cb28ba02aa815182978d2230d8f35e8fd44a780279ac1d164e1ba68","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0xa8ce279d456fad98ec60672c52d1b2d76cfff62ba2b53887985bf9cc239d39e5","0x4c66defecf31bfdb193d0b64354475daf38dd86a","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0x99870bd9d3419784d2157af88b88ab7dc6432e9d68ee7f5d159a512d8d83b3dc","0xe75ed6f453c602bd696ce27af11565edc9b46b0d","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0x769986640126c16ee03eb99fa464dbaaedfd4eecb14ee5964e3383a0eaa51ecc","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xdcddae87edf1d9f62ae2f3a66eb2018acd0b2508",0.000621570448914412
18910252,"2024-01-01 04:35:35","0x844cdd4f85eb1e9948aafc681a478668a25d01179dea47042607add815f65417","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0xaf2bfdab91ef58d9c3967aae1959dbd1161825113b881bc7d3edbc97eb873d8e","0x5b1269000061c662aec723e45a58157366009fb3","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","0xcfe19c0e97d5012dba42e8d4dbce8888c307d3131907a5a9e1ad848b47d2f25a","0xe75ed6f453c602bd696ce27af11565edc9b46b0d","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0xfc94f54f21b2ae29655099f9fddf16568befa74da6c192aa3368ba303982d8d3","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xf69c84b099c3c24eb1209f39d39236c432c00811",0.03827597018567301
18910261,"2024-01-01 04:37:23","0xd01b3aeea8cf1a22e2304a1cf42df8da7d1aa92df79cb2553e424e0e221bef45","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x0d70eec37a0b5879ef7d0f0607b3fe955dc9a244a058efeb504f5c1058503425","0x5b1269000061c662aec723e45a58157366009fb3","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","0x99ec63e345933aa52d33b762683ff78684bebe750d6fce154f59ff213fc39875","0xe75ed6f453c602bd696ce27af11565edc9b46b0d","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0xb5342fb3e5bdc5cd475feb629cc1df2ef79883f3e79c0c567a6d8ee0b5c7342b","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xf69c84b099c3c24eb1209f39d39236c432c00811",0.02177822157298533
18910652,"2024-01-01 05:56:11","0x6dddd8ee4749d53ef543605ca78870962e561134104faa18bf7cdf6d3372d420","@rsyncbuilder","0x1f9090aae28b8a3dceadf281b0f12828e676c326",1,"0xe2d0f29d7dba0178e442774f2f953b6f64405d9f8afa91965f717b12a76a31b2","0xabf48a85abe039becae2b08f5bf6383be0ad6af9","0x03f34be1bf910116595db1b11e9d1b2ca5d59659","0x64843ed2877f0012bb20829450da713f18139c1f0f30117569fb9d9a53a6a0a6","0x2ee36e41387f87b7e6f678a86d1e575b23b996f5","0x0000000000a84d1a9b0063a910315c7ffa9cd248","0x07500cf986f77879c341d8d9f7929296272054a322eeaa214efcbea3c3c6cdcb","0x1f9090aae28b8a3dceadf281b0f12828e676c326","0x63ef071b8a69c52a88dca4a844286aeff195129f",0.00610068019792534
18910675,"2024-01-01 06:00:47","0x04ae937a1531994348a615ec7d885d6ab6b93fa379119e8d137b686026b0a115","Titan (titanbuilder.xyz)","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97",1,"0x180ecfc4f63c9a1f95a551927bea62d3bfb7c2960a54d2493da73d603a2ccc7a","0xabf48a85abe039becae2b08f5bf6383be0ad6af9","0x03f34be1bf910116595db1b11e9d1b2ca5d59659","0xd54ef4872fa0745bb7d9c62dd047a8700423988a7118b7017cc92d6b0e2704c2","0x2ee36e41387f87b7e6f678a86d1e575b23b996f5","0x0000000000a84d1a9b0063a910315c7ffa9cd248","0xa13303e51dd8f5e34ac0a2f601cceac61a669adb4be42f5b9cf57f732b6a3635","0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97","0x63ef071b8a69c52a88dca4a844286aeff195129f",0.0201294729945805
