"block_number","block_time","block_hash","extra_data","fee_recipient_address","bundle_id","user_tx_hash","user_tx_from","user_tx_to","backrun_tx_hash","backrun_tx_from","backrun_tx_to","refund_tx_hash","refund_from","refund_to","refund_value_eth"
19037334,"2024-01-19 00:29:59","0xd1125fad21cd13fc4f80cf3a8f265a0e98c7373fdecbadf63efc912434fce844","Illuminate Dmocratize Dstribute","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5",1,"0x8cd1a820880bf179e804a56162403fbb17c39047b9f8bccb9a896cf393b57691","0x2a05c8b75a12f05b30929450c487eba61a01b374","0x1111111254eeb25477b68fb85ed929f73a960582","0xdf5b2addad18f55316897f20a8caa3e84254321a6513036ae68e636d240f677e","0xa0b1c5f88d9a1acdd4f7ff869e947bfd54c07c61","0x525145f821d8d2abb494c454e9445e14c817f7cb","0xa086fe091103ef9c3e0705f7d0262647f332c856f208027fff4b64ee399419dc","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5","0x45bbc37bff7a33ede46d4e6e627b84c0580304e5",0.33894213162301723
19037490,"2024-01-19 01:01:23","0xa748d80b066e1073eca18530eaf3958b923d261fb230195af632a762128a732b","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x4b5ced321c16e00e0f26eac2d7659703cafabc93dbe748efccb328387f56d9d7","0x13c29653629012b4f7a2be34c47f41b68e855391","0x5c9321e92ba4eb43f2901c4952358e132163a85a","0x82471b8f2dbd734c7c7447d5c0b5d657a5061238e4e5c1384f916bab954716ad","0xfc9928f6590d853752824b0b403a6ae36785e535","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0xf4b4f9f825ce9d77dc4c36d6a4dfdb0e6e5f6069d46b37ef3d04808a7ae700cc","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xdcddae87edf1d9f62ae2f3a66eb2018acd0b2508",0.0144433386575592
19037510,"2024-01-19 01:05:23","0x0cbfa48a28853b288f91122415f5bf20df6f6c5b4673122d4dbeb93b840997aa","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x4ba4b6a67ec5cee1b051f2146e36cd19b513e73026c7622a9ca27d18b911736e","0x5e04a4ec799de238ef825b148c1e0826c41e5f79","0x1111111254eeb25477b68fb85ed929f73a960582","0x5a606d7985b9776bc576a4976a2bf97bc1c568d132e30ff78fbf952b275fc770","0xbf103ca71e997bd478da47d49e116168b37f00fc","0x988ad333342d903190ed86a053e6b2170aebeb20","0x602a439e0a038c88d39a6a634baf41a84fe2c62c744b638725fc00533efdc655","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x5e04a4ec799de238ef825b148c1e0826c41e5f79",0.001087094832035254
19037517,"2024-01-19 01:06:47","0x95fa8defaf44349abf567ff3569e6dbbb69fca0c91ba6f95b72663fe1ded3df6","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0xa38d70bc66ec9b2df0a0cab0b5134084b6514ead9b85d30109a576d3c4e8c391","0xf58e94a379b5041bca55ae83ff520628d0d4238a","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","0x81cacf259f203072702afd07bda3b878db9c634447397466ab9f984e57a80848","0x0588eed1e58744ee5354c8ad0f89707b238c8aa9","0x6f1cdbbb4d53d226cf4b917bf768b94acbab6168","0x24f20c8b2cf8e1e660fb12a174bd9693530943c3adf121846c390573654c6805","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x7b523c0216d9e3e5f52dd0eafad4b39c9924e6d0",0.00092458123494808
19037570,"2024-01-19 01:17:35","0xc177c418b59e1cb8f559163b36d33964ffefd52185610ceb71c453fc94137af1","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x307127f462f27950a7bdd559c760e8e191fcaa3afc32eefbf5a431ca5f71d5f2","0xfa7ffbec31b82b06b56d91754e003c4e8fe12652","0xdef1c0ded9bec7f1a1670819833240f027b25eff","0x1d4d5c9396e8f4572fce7af9a1a8226358fce0cc0b6011aee66a87afe9fa407b","0xe75ed6f453c602bd696ce27af11565edc9b46b0d","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0xe884d12f84774082b66d144513237ab323ce34a284513cf904e04777e87d5612","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xed70ec8224a7af98968a7659a6dde5a29f33519d",0.002370492013085661
19037584,"2024-01-19 01:20:23","0x76d864a7dadab6a0c375ccc09031c49aec0889b164ed8426ddc4b92c8ef6cd3d","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0xd17e8cbdfcb1fee53976ce8cd5c376c76fbea7d4aa84192281d64009051961cc","0xf2432ae59486a76589ce08dd73ddac82baf728ae","0xdef1c0ded9bec7f1a1670819833240f027b25eff","0x15fe314574261892e1e1ea537881872ce6fba3150cb6c0ed90c5de3953b28f70","0x12dde15d3bc00d69fb6f94b5afe8cb71a364756c","0x51c72848c68a965f66fa7a88855f9f7784502a7f","0x68bdd3e1f6dd0f3779f20bb11f9164b32732f4a584fb17af6b5fdc880a3b86f7","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xed70ec8224a7af98968a7659a6dde5a29f33519d",0.016497191691710853
19037600,"2024-01-19 01:23:35","0x90a090e52e1e3a31d0efd5e67fe280d14f2cdd05269aa944dfd0b0c67fca0522","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0xa58389a13c318c8c7b5a2b7ef193a03a56f16eee6e986e893dabf7c40cde26f3","0x010a4891f6123099fe4cb1981579fb78f1859988","0x5c9321e92ba4eb43f2901c4952358e132163a85a","0x8d15018a547740220984ecc684025adb7f7e63d2af7fc273e6342399b345c2d9","0xe75ed6f453c602bd696ce27af11565edc9b46b0d","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0x7c66166e01b5033c73b1214c3984e0f20296d8875dc38364392e1c7bb5daacbe","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xdcddae87edf1d9f62ae2f3a66eb2018acd0b2508",0.002702268459494088
19037616,"2024-01-19 01:26:47","0x878fc1645539c7aaee6abcdb32b64f0a90cb4303ac3cc993334a613b49aa8311","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x53249ec1906cd928e3133346d7f5b153ea85161d48c57189ae8a94d302434600","0x3cfa68939021f836b7d599dfaa6490f864017923","0xdef1c0ded9bec7f1a1670819833240f027b25eff","0x8df2a451a8b4061bd59c66ca24c52a368bf0ab73b4ecc74de7393d0d3ad850bc","0xfc9928f6590d853752824b0b403a6ae36785e535","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0x33846bcb2ba76c1706c48feac90715e4ddd614532a1927895eacd9aed420ccec","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xdcddae87edf1d9f62ae2f3a66eb2018acd0b2508",0.006525182597803548
19037620,"2024-01-19 01:27:35","0xd758f1bae5024dc13f72c6f4a87b3e9926186617e80192baec82587363e98bc1","@rsyncbuilder","0x1f9090aae28b8a3dceadf281b0f12828e676c326",1,"0xbb2916ab1eb794af9552d0cc6822ca08520c8c1ad85552eb0507df6f28cc5782","0x05d2783a9a7bd4d432edd1d2c0ee36b82aab7cbb","0x5c9321e92ba4eb43f2901c4952358e132163a85a","0x0b3ad2a6b2d4baca3286fce972da8e577557a9cb41901a1e3df01312c60a8ffc","0xbf103ca71e997bd478da47d49e116168b37f00fc","0x988ad333342d903190ed86a053e6b2170aebeb20","0x6bfd6be502a5b546e57302b6f878972fce8513156ee93d6f79e0fd96c6f7db18","0x1f9090aae28b8a3dceadf281b0f12828e676c326","0x05d2783a9a7bd4d432edd1d2c0ee36b82aab7cbb",0.011745124867911225
19037796,"2024-01-19 02:02:59","0x6b8e16f38cb1f584d6b2345d498bc19f774ad23b2d636e68ce377e018a64ad97","Illuminate Dmocratize Dstribute","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5",1,"0x4d24f0441f3887f87933efe424bf91f5dfb629e14a36692dca27940435b6e56b","0xdf3504e9d05e54197f5d6db864194b199258571d","0xdc3bfcb3521cd02af66d394f817a0e6fe62ded95","0x686136ed606d24af10af7eebca3689bf3ce23bdfb57bb2aa096a6b7ca45c352c","0x7f9dd0257dc4b370cbec9c9aee9daf4943469571","0x6079dfc485faaae22cf4f71ca7cc6c7b027b3212","0x0eee1c87013c072d414e1ba5dfcce146f4adbaa860acb4155294eb9806f21c2e","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5","0xdf3504e9d05e54197f5d6db864194b199258571d",0.001260241717455
