"block_number","block_time","block_hash","extra_data","fee_recipient_address","bundle_id","user_tx_hash","user_tx_from","user_tx_to","backrun_tx_hash","backrun_tx_from","backrun_tx_to","refund_tx_hash","refund_from","refund_to","refund_value_eth"
19072812,"2024-01-24 00:04:59","0x883a78ce7e94dfe47fbb97c3b955438dc1f9198ef8d9b9d0fc0c27c66938d61c","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x6cd8feabd501f6acf8ea9cc766c33005ef7b527464ab4c5ee8784245e34207a0","0x531fd2be7c19f3a09699df9c8dc4e71445b3ed7d","0x881d40237659c251811cec9c364ef91dc08d300c","0xee1b88fd7b1a7c9a449eb6c82d70d73404b07f8095d9c4f3775ae90461e1cf9c","0xfc9928f6590d853752824b0b403a6ae36785e535","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0x9a5bec9e9cd7c45ef28b2bff333dfde4e2e97d51a1ca756c35588219f39221b3","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xef409c51addcf4642e2c98e935bc5d9ac273af57",0.001674613689892033
19072978,"2024-01-24 00:38:47","0x3750e44ea1103aaed326f4517928cb738236d9d7b343285a8c084de760a2f861","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x23a05d3abeb58eb58bb5ce95187b5ca597f94505fe4fdcefb6835b120474c872","0xa7d1bb278b00e32ae8938924fd29981af95dcb8d","0x952e24a9f49a15cac92cf1f6d01b9536959948f4","0xfaa83e07f938c85a0073de64e02b8189b6fbb1bac00112259fa1070557649398","0xb338c6f6e591125491232075108f5ca2e9715143","0x46fbf407d8b99b2f2e75deddd242ed51c2e3a4a9","0xb2bd78cd542cebf99d13cd874b9a9bdec08843ebb00bc685d02e3dc152c91a34","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xdcddae87edf1d9f62ae2f3a66eb2018acd0b2508",0.000085068493898528
19072985,"2024-01-24 00:40:11","0x3873bd50e49ae93fc580fad513f89de79e4e97a9cb3d9195cd69d6a2058f05cd","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x6f063ce39b410376a6d09a314b3297c9484f2a142b115187a4b7a710dde9c082","0x9cf63d8fec9312585c55626da0fe19958cca6f82","0x7a250d5630b4cf539739df2c5dacb4c659f2488d","0x4e8caaf6c6b64aa65489e23751a78665b4a5135b076c62a2fe2245719a967713","0xfc9928f6590d853752824b0b403a6ae36785e535","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0xe5f0b6befe2961d455552185436afaf4ae5d5d2f30cb86966a0f6e8df7b6b889","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x1876207dbfd106372d289d06e89cb75a4ff40231",0.000180938974850774
19073045,"2024-01-24 00:52:11","0x534926c0d4c1fc570c11090a927864e19850347cb8a718b044e17438d6b9a0c8","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x76194f1dd5257f8ec1f1793132732d7fb5a0e395b2becc400e96f0082bde2f3f","0xd66570edcdade24edda902b28f2172e9ef8395dd","0xd1742b3c4fbb096990c8950fa635aec75b30781a","0x7a954cb20d3a0192fe3f905caa4051df91a02640964cbdfc4984c05a06240e4a","0x2ee36e41387f87b7e6f678a86d1e575b23b996f5","0x0000000000a84d1a9b0063a910315c7ffa9cd248","0x921db35ad69c19e8454ff93ad7e49237c48ae3afe9e1c62e1c692099978779df","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x7b523c0216d9e3e5f52dd0eafad4b39c9924e6d0",0.002395916139867398
19073046,"2024-01-24 00:52:23","0xb8c2daf7a14299e24d93f48706822dcaf051bd8371591edc33a8ab28e9fde1d4","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0xa8a25bfe2b277cc60ea9cb6d5a944367e75fd1fd8491706d22419285b1ed560f","0xd4a2ba87c128aeaa5ccc343a6d8cae50c9fab598","0x881d40237659c251811cec9c364ef91dc08d300c","0xe25741f87234f3d2136841568ff2bab799cb6bf2bd6894bb258742f100636dba","0x58a497019644d8c383c8d3764c32ffd43506e836","0x51c72848c68a965f66fa7a88855f9f7784502a7f","0x969a3abcf47adf739b8235c5a7a84c53112353dd6c257b50dddab29823bd3791","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xef409c51addcf4642e2c98e935bc5d9ac273af57",0.000503757244512786
19073046,"2024-01-24 00:52:23","0xb8c2daf7a14299e24d93f48706822dcaf051bd8371591edc33a8ab28e9fde1d4","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x8f642d86f9b053b57db7a4a154c4dd7c2e3f5cc59d2cbdc25f0b5919e809223d","0xad67d3a4fe6040ccb8ae703a443202ec6b9e4a0f","0xd1742b3c4fbb096990c8950fa635aec75b30781a","0x2241c1fcae8226ae2464aa187cf7021b32fc86808ce21af623c680093a5ede1e","0x2ee36e41387f87b7e6f678a86d1e575b23b996f5","0x0000000000a84d1a9b0063a910315c7ffa9cd248","0xce2df3d0f0c39230abd85f83c52717cc2455d2d8e773cfd9930b9456dbe978d6","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x7b523c0216d9e3e5f52dd0eafad4b39c9924e6d0",0.000464038750641423
19073177,"2024-01-24 01:18:35","0x5d513d50a8982e1be275ffce0017ac7c6d917ce9cb00b9820f4ef72e968abc3d","Illuminate Dmocratize Dstribute","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5",1,"0x81d16b7885c7e90888b5a019ac2452aa344e59b551ce30828bd039737b9240b2","0x8764f421ab0c682b4ba1d7e269c09187c1efbfaf","","0x7eb776dcd0cf940bbfec22f2a2a6b28d8ad3fe9a97de12eddefb371feefe8c35","0x7f9dd0257dc4b370cbec9c9aee9daf4943469571","0x6079dfc485faaae22cf4f71ca7cc6c7b027b3212","0x342e6c15da26e5d423650bd73ea7e1498746abe3fa9ea4e0ce9f0196fea274a8","0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5","0x8764f421ab0c682b4ba1d7e269c09187c1efbfaf",0.001684696600356
19073203,"2024-01-24 01:23:47","0x38683c0ec6ad7365f73be9f10cff571f9565b56a345812882830c757f33188f7","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x0d19068ded74cd086d56d158891ca05bab1232ad733b2dc1de2982321294cf64","0xad67d3a4fe6040ccb8ae703a443202ec6b9e4a0f","0xd1742b3c4fbb096990c8950fa635aec75b30781a","0xfeecc98bf0262cb08118581dc4ebe5cce2431509b0d4e61dbffa1b8a066076b7","0x2ee36e41387f87b7e6f678a86d1e575b23b996f5","0x0000000000a84d1a9b0063a910315c7ffa9cd248","0x9e98aad157369e4b647f6571635623d551e7c49cf8c07ae47647431e90bd565c","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0x7b523c0216d9e3e5f52dd0eafad4b39c9924e6d0",0.000090810632871275
19073260,"2024-01-24 01:35:23","0x735adf55881ec97976a087cbff9f04f0d0bb19c08c37228ea4928344b0cafdd3","beaverbuild.org","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5",1,"0x1d6d56cf3c82695201377309cfbd19faca5f91ffcb2c1cd3cbf289664bcd540d","0x43f9e122eca200698b600e86898f425bc814b919","0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad","0x801ef4a2541f1b2319c979c6ea12db46914b4465de563e2a806170d62280cadb","0xe75ed6f453c602bd696ce27af11565edc9b46b0d","0x00000000009e50a7ddb7a7b0e2ee6604fd120e49","0xcd94b6b8661a64c817c5f8f1dfeada93c5f3fc960ffa184aad5179504cb56727","0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5","0xdcddae87edf1d9f62ae2f3a66eb2018acd0b2508",0.00616807804553038
19073263,"2024-01-24 01:35:59","0x40b92e71ed6651d210afd4307be85d7cc0495aab65f7d57791b4cd5116dd1d24","rsync-builder.xyz","0x1f9090aae28b8a3dceadf281b0f12828e676c326",1,"0x649c4eda71e49120cd41a24a3dd6a294590ff8fb8339b2a2ce854821a993454b","0x7169b01f00b804cb3d70ba9a2ab619737822542f","0x03f34be1bf910116595db1b11e9d1b2ca5d59659","0x138490fff1a1d93da0298beba89dfa4587955e48f0d7daa2825ac53975a3bd34","0x2ee36e41387f87b7e6f678a86d1e575b23b996f5","0x0000000000a84d1a9b0063a910315c7ffa9cd248","0x15bd3c03d6781358c6a716ee697769796d85b960464e5c68f2914014813b9ffd","0x1f9090aae28b8a3dceadf281b0f12828e676c326","0x63ef071b8a69c52a88dca4a844286aeff195129f",0.001110733583333765
