transaction_date,total_transactions,mined,unmined
2023-11-27,1660,1632,28
2023-11-28,1853,1805,48
2023-11-29,1694,1655,39
2023-11-30,1986,1940,46
2023-12-01,1761,1518,243
2023-12-02,1740,1708,32
2023-12-03,1731,1691,40
2023-12-04,1786,1761,25
2023-12-05,28,9,19
2023-12-06,1425,1392,33
2023-12-07,1468,1436,32
2023-12-08,1700,1666,34
2023-12-09,1441,1400,41
2023-12-10,1557,1523,34
2023-12-11,1503,1465,38
2023-12-12,1436,1393,43
2023-12-13,1434,1363,71
2023-12-14,1669,1623,46
2023-12-15,1699,1672,27
2023-12-16,1677,1642,35
2023-12-17,1330,1318,12
2023-12-18,1474,1418,56
2023-12-19,1267,1238,29
2023-12-20,1456,1430,26
2023-12-21,1309,1281,28
2023-12-22,1332,1300,32
2023-12-23,1166,1116,50
2023-12-24,1001,927,74
2023-12-25,1154,1055,99
2023-12-26,937,908,29
2023-12-27,1157,1134,23
2023-12-28,956,928,28
2023-12-29,1130,1106,24
2023-12-30,1349,1296,53
2023-12-31,1047,1021,26
2024-01-01,1366,1310,56
2024-01-02,1165,1130,35
2024-01-03,1510,1420,90
2024-01-04,1482,1435,47
2024-01-05,1270,1198,72
2024-01-06,1088,1045,43
2024-01-07,1008,962,46
2024-01-08,445,429,16
2024-01-09,1339,1302,37
2024-01-10,1353,1317,36
2024-01-11,1345,1300,45
2024-01-12,1182,1139,43
2024-01-13,1473,1402,71
2024-01-14,1201,1152,49
2024-01-15,1314,1277,37
2024-01-16,1449,1401,48
2024-01-17,1419,1370,49
2024-01-18,1735,1690,45
2024-01-19,1689,1592,97
2024-01-20,1723,1682,41
2024-01-21,1589,1517,72
2024-01-22,1726,1666,60
2024-01-23,1700,1625,75
2024-01-24,1636,1574,62
2024-01-25,1568,1516,52
2024-01-26,2143,1837,306
2024-01-27,2209,1678,531
2024-01-28,2251,1982,269
2024-01-29,2044,1595,449
2024-01-30,2871,1912,959
2024-01-31,2397,1966,431
2024-02-01,2010,1535,475
2024-02-02,2380,2021,359
2024-02-03,2383,1844,539
2024-02-04,2338,1990,348
2024-02-05,2140,1667,473
2024-02-06,2762,2352,410
2024-02-07,2424,2034,390
2024-02-08,2386,2023,363
2024-02-09,2496,2013,483
2024-02-10,2132,1612,520
2024-02-11,2325,1845,480
2024-02-12,2599,2232,367
2024-02-13,2151,1861,290
2024-02-14,2533,2097,436
2024-02-15,2689,1969,720
2024-02-16,2297,1709,588
2024-02-17,2450,2058,392
2024-02-18,2395,1979,416
2024-02-19,2461,2039,422
2024-02-20,1905,1574,331
2024-02-21,1974,1645,329
2024-02-22,2250,1862,388
2024-02-23,2155,1732,423
2024-02-24,2687,2304,383
2024-02-25,2728,2377,351
2024-02-26,2125,1812,313
2024-02-27,2111,1723,388
2024-02-28,2246,1831,415
2024-02-29,2503,1861,642
2024-03-01,2466,2008,458
2024-03-02,2512,2095,417
2024-03-03,2662,2260,402
2024-03-04,2664,2175,489
2024-03-05,2668,2195,473
2024-03-06,2512,2090,422
2024-03-07,2984,2507,477
2024-03-08,2934,2386,548
2024-03-09,3197,2711,486
2024-03-10,3010,2514,496
2024-03-11,2858,2345,513
2024-03-12,2911,2319,592
2024-03-13,2807,2266,541
2024-03-14,2894,2135,759
2024-03-15,3160,2287,873
2024-03-16,2826,2356,470
2024-03-17,2833,2349,484
2024-03-18,2588,2173,415
2024-03-19,2883,1978,905
2024-03-20,2931,2321,610
2024-03-21,2865,2426,439
2024-03-22,2686,2199,487
2024-03-23,2702,2257,445
