block_date,total_transactions,mined,unmined
2023-11-27,3946,3884,62
2023-11-28,4516,4397,119
2023-11-29,4103,3989,114
2023-11-30,4793,4684,109
2023-12-01,4327,3790,537
2023-12-02,4283,4177,106
2023-12-03,4390,4294,96
2023-12-04,4226,4169,57
2023-12-05,214,76,138
2023-12-06,3508,3402,106
2023-12-07,3710,3547,163
2023-12-08,4122,4025,97
2023-12-09,3762,3645,117
2023-12-10,3937,3847,90
2023-12-11,4026,3814,212
2023-12-12,3938,3815,123
2023-12-13,3431,3269,162
2023-12-14,3930,3820,110
2023-12-15,4273,4192,81
2023-12-16,4036,3940,96
2023-12-17,3458,3372,86
2023-12-18,3471,3325,146
2023-12-19,3065,2982,83
2023-12-20,3676,3590,86
2023-12-21,3312,3230,82
2023-12-22,3350,3240,110
2023-12-23,3020,2855,165
2023-12-24,2938,2557,381
2023-12-25,4037,3330,707
2023-12-26,2533,2399,134
2023-12-27,3065,2995,70
2023-12-28,2492,2372,120
2023-12-29,2919,2812,107
2023-12-30,3499,3313,186
2023-12-31,2926,2850,76
2024-01-01,3615,3367,248
2024-01-02,3019,2918,101
2024-01-03,3896,3651,245
2024-01-04,3754,3616,138
2024-01-05,3308,3112,196
2024-01-06,2908,2730,178
2024-01-07,2747,2555,192
2024-01-08,1273,1167,106
2024-01-09,3467,3297,170
2024-01-10,3979,3802,177
2024-01-11,4071,3859,212
2024-01-12,3454,3171,283
2024-01-13,4459,4172,287
2024-01-14,3475,3332,143
2024-01-15,3640,3466,174
2024-01-16,3557,3382,175
2024-01-17,3842,3678,164
2024-01-18,4775,4612,163
2024-01-19,5073,4681,392
2024-01-20,4328,4210,118
2024-01-21,4641,4402,239
2024-01-22,4521,4324,197
2024-01-23,4559,4249,310
2024-01-24,4165,3800,365
2024-01-25,4085,3848,237
2024-01-26,6320,5808,512
2024-01-27,5851,5177,674
2024-01-28,6835,6365,470
2024-01-29,6078,5428,650
2024-01-30,7541,6336,1205
2024-01-31,6992,6304,688
2024-02-01,5531,4844,687
2024-02-02,6990,6404,586
2024-02-03,7259,6187,1072
2024-02-04,6320,5798,522
2024-02-05,6003,5292,711
2024-02-06,7517,6969,548
2024-02-07,7023,6508,515
2024-02-08,7060,6588,472
2024-02-09,7024,6406,618
2024-02-10,5553,4786,767
2024-02-11,6293,5668,625
2024-02-12,7458,6942,516
2024-02-13,6988,6498,490
2024-02-14,7647,6993,654
2024-02-15,7382,6472,910
2024-02-16,6420,5626,794
2024-02-17,7142,6524,618
2024-02-18,7576,6920,656
2024-02-19,7331,6653,678
2024-02-20,5877,5343,534
2024-02-21,6040,5507,533
2024-02-22,6032,5504,528
2024-02-23,6221,5621,600
2024-02-24,7820,7232,588
2024-02-25,8095,7492,603
2024-02-26,6399,5991,408
