block_date,daily_refund_value_eth,mev_share_bundle_count
2023-12-28,0.3802148685503705,53
2023-12-29,0.9933383094113458,64
2023-12-30,0.4755768597085177,32
2023-12-31,0.554008371495253,57
2024-01-19,0.0006813213880875,1
2024-01-20,0.0044856632340708,1
2024-02-15,0.0097452094099576,1
2024-04-07,0.048124187640198,14
2024-04-08,0.057051333105764095,3
2024-04-09,0.061308190933017495,5
