block_date,total_transactions,mined,unmined
2023-10-19,110589,108362,2227
2023-10-20,129289,126830,2459
2023-10-21,93352,91469,1883
2023-10-22,95846,93965,1881
2023-10-23,111098,107595,3503
2023-10-24,109586,106267,3319
2023-10-25,107240,104610,2630
2023-10-26,116717,113497,3220
2023-10-27,122663,120294,2369
2023-10-28,116113,114194,1919
2023-10-29,110783,108341,2442
2023-10-30,126702,124235,2467
2023-10-31,130392,127461,2931
2023-11-01,122231,119805,2426
2023-11-02,113581,111231,2350
2023-11-03,107915,105978,1937
2023-11-04,111900,109536,2364
2023-11-05,122952,120757,2195
2023-11-06,135881,131717,4164
2023-11-07,116758,113549,3209
2023-11-08,128500,125745,2755
2023-11-09,108745,104639,4106
2023-11-10,87436,84212,3224
2023-11-11,81584,78413,3171
2023-11-12,80964,78525,2439
2023-11-13,98921,95929,2992
2023-11-14,97196,94161,3035
2023-11-15,91162,87846,3316
2023-11-16,89397,85913,3484
2023-11-17,85213,82741,2472
2023-11-18,86117,82701,3416
2023-11-19,80504,77064,3440
2023-11-20,84202,81586,2616
2023-11-21,82292,79527,2765
2023-11-22,82316,79110,3206
2023-11-23,81640,79623,2017
2023-11-24,81377,78985,2392
2023-11-25,84097,81916,2181
2023-11-26,88108,86126,1982
2023-11-27,94283,92110,2173
2023-11-28,98463,95369,3094
2023-11-29,124251,108448,15803
2023-11-30,107115,104492,2623
2023-12-01,104904,98922,5982
2023-12-02,104563,102362,2201
2023-12-03,91711,89183,2528
2023-12-04,94047,91063,2984
2023-12-05,83716,81130,2586
2023-12-06,80422,77814,2608
2023-12-07,89245,86615,2630
2023-12-08,88993,86863,2130
2023-12-09,80687,77923,2764
2023-12-10,86170,83690,2480
2023-12-11,80950,77594,3356
2023-12-12,85624,82394,3230
2023-12-13,82673,79766,2907
2023-12-14,84250,80117,4133
2023-12-15,92974,84745,8229
2023-12-16,82346,79708,2638
2023-12-17,75128,72853,2275
2023-12-18,77528,75073,2455
2023-12-19,77854,75543,2311
2023-12-20,75774,73129,2645
2023-12-21,76988,73578,3410
2023-12-22,76424,72788,3636
2023-12-23,66932,63355,3577
2023-12-24,78667,62616,16051
2023-12-25,68203,60405,7798
2023-12-26,64638,61659,2979
2023-12-27,70057,66847,3210
2023-12-28,72735,68444,4291
2023-12-29,73531,69145,4386
2023-12-30,71816,68031,3785
2023-12-31,62495,59290,3205
2024-01-01,67360,63680,3680
2024-01-02,77278,73180,4098
2024-01-03,84365,78729,5636
2024-01-04,82818,78326,4492
2024-01-05,76848,72273,4575
2024-01-06,69762,66580,3182
2024-01-07,62699,59154,3545
2024-01-08,17131,16262,869
2024-01-09,77270,71803,5467
2024-01-10,77938,71832,6106
2024-01-11,87764,80703,7061
2024-01-12,80405,72992,7413
2024-01-13,81550,75938,5612
2024-01-14,119463,83037,36426
2024-01-15,78130,73940,4190
2024-01-16,108505,105213,3292
2024-01-17,102745,99225,3520
2024-01-18,104630,100391,4239
2024-01-19,114821,109785,5036
2024-01-20,94265,89736,4529
2024-01-21,99861,94694,5167
2024-01-22,104751,98858,5893
2024-01-23,96751,90336,6415
2024-01-24,97620,92687,4933
2024-01-25,103019,98716,4303
2024-01-26,126039,117935,8104
2024-01-27,135406,121939,13467
2024-01-28,133514,121374,12140
